Project Name,Figma Link,Proto-type,Category,Website Link,Language
Energy Business Landing Page,https://www.figma.com/design/wRqYufJDSwMD9LazPU8nkN/Energy-Business-Landing-Page?node-id=0-1&t=ubUesHj2VbjnCabd-1,https://www.figma.com/proto/wRqYufJDSwMD9LazPU8nkN/Energy-Business-Landing-Page?page-id=0%3A1&node-id=1-420&node-type=CANVAS&viewport=399%2C559%2C0.09&t=iAegggBqbOEJvfvw-1&scaling=scale-down-width&content-scaling=fixed,RENEWABLE ENERGY | Eco | Solar | Sun Energy | Sustainable | Profitable Energy Transition on Digital Solutions,,
Real Estate landing Page,https://www.figma.com/design/jFCB7I0uiHE0s5njDYLTYH/Real-Estate-landing-Page?node-id=1-2&t=2G8aSlDoEI2E29IW-1,https://www.figma.com/proto/jFCB7I0uiHE0s5njDYLTYH/Real-Estate-landing-Page?page-id=1%3A2&node-id=2001-160&node-type=CANVAS&viewport=231%2C379%2C0.12&t=OxSJohfxEc93FJzt-1&scaling=scale-down-width&content-scaling=fixed,"Rentals | Real Estate | Rental Listings | Homeownership | Property | Property Managers | Renters | Rental Leases
",,
Pacific's Finest,https://www.figma.com/design/5zuCzZx9EjlBDWvz0D52qE/Pacific's-finest?node-id=0-1&t=xCjxy4aBIPFXtOQq-1,https://www.figma.com/proto/5zuCzZx9EjlBDWvz0D52qE/Pacific's-finest?page-id=0%3A1&node-id=1-2&node-type=CANVAS&viewport=97%2C172%2C0.12&t=Cnf8agEV0yXzPILY-1&scaling=scale-down-width&content-scaling=fixed,Remodeling | Home Management | BUILDING | Architecture | PLUMBING | Electrical | Drywall | Building Construction | Architectural Design | Interior Design | Flooring | Drywall | Painting | Electrical | Drywall,,
Visio Create,https://www.figma.com/design/JVoYkONEqWRDKLaAVIOJtk/Real-Estate-Landing-Page?node-id=1-2&t=dpxR9aIkPA9FRvpw-1,https://www.figma.com/proto/JVoYkONEqWRDKLaAVIOJtk/Real-Estate-Landing-Page?page-id=1%3A2&node-id=1-5&node-type=CANVAS&viewport=2213%2C675%2C0.92&t=jO52QXESGsRpkfuS-1&scaling=scale-down-width&content-scaling=fixed,Rentals | Real Estate | Rental Listings | Homeownership | Property | Property Managers | Renters | Rental Leases,,
Drpechak,https://www.figma.com/design/s2htvrJsJb3DAcs2wxFE42/Drpechak?node-id=0-1&t=UW99Gvh5xG4dQ4wj-1,https://www.figma.com/proto/s2htvrJsJb3DAcs2wxFE42/Drpechak?page-id=0%3A1&node-id=1-610&node-type=CANVAS&viewport=66%2C378%2C0.14&t=6BCF6qSSwh0oyZzB-1&scaling=scale-down-width&content-scaling=fixed,Periodontology | Implantology Centers | Implant | Perio | Silicon Valley | Dental | Telehealth | Dental Treatmen | Bone Grafting | LANAP Laser Dentistry | Gum Disease | PRF | Sleep Dentistry | Tooth Removal | Pinhole Gum Rejuvenation | Wisdom Teeth | Failing Implants | 3D Guided Implants,,
VetDadz,https://www.figma.com/design/1iuIT2dyhDol0jaPuKLe8O/VetDadz?node-id=0-1&t=bgLv0GPVH4h3Ro4P-1,https://www.figma.com/proto/1iuIT2dyhDol0jaPuKLe8O/VetDadz?page-id=0%3A1&node-id=7-330&node-type=CANVAS&viewport=6%2C378%2C0.07&t=xrJspHvx5EjSfmtR-1&scaling=scale-down-width&content-scaling=fixed,VetDadz | Vet | Veteran Dads | Veteran | Document Notarization | Resume Writing | Employment Assistance | Disability Claims Information | Support and Advocacy | Warrior Rising,,
Concierge Home Management,https://www.figma.com/design/ioJwxnVDulc0h1SzJOCnuW/Concierge-Home-Management?node-id=72-2&t=6N5T2HqP1YFLMJXN-1,https://www.figma.com/proto/ioJwxnVDulc0h1SzJOCnuW/Concierge-Home-Management?page-id=72%3A2&node-id=508-929&viewport=-1981%2C919%2C0.2&t=iLBkN4tttfPFbc9k-1&scaling=scale-down-width&content-scaling=fixed&starting-point-node-id=72%3A333,Real Estate | Home Management | Rentals | Real Estate | Rental Listings | Homeownership | Property | Property Managers | Renters | Rental Leases | Remodeling,,
Tech Digitron,https://www.figma.com/design/yBUa9pkCf3OFKM4HPQFhWc/Tech-Digitron?node-id=0-1&t=rYkI6BPsaHEGkurl-1,https://www.figma.com/proto/yBUa9pkCf3OFKM4HPQFhWc/Tech-Digitron?page-id=0%3A1&node-id=304-2&node-type=canvas&viewport=-677%2C8707%2C1.13&t=5hS2OmjpQMllbjxM-1&scaling=scale-down-width&content-scaling=fixed,Tech | IT | Technology | Digital Solution |,,
Limitless Equine Products,https://www.figma.com/design/xCGDiaZhW6ouLK4ug51SEj/Limitless-Equine-Products?node-id=0-1&t=2LVdZoGg5cPlAnez-1,https://www.figma.com/proto/xCGDiaZhW6ouLK4ug51SEj/Limitless-Equine-Products?page-id=0%3A1&node-id=1-2&node-type=FRAME&viewport=183%2C299%2C0.55&t=Qa0kYTzE9LPjFq7O-1&scaling=scale-down-width&content-scaling=fixed,Horse Tack | Essentials | Products | Gear | Animals,,
Kallsen Associates,https://www.figma.com/proto/2l6rWozseXTBOPUZDL8has/eka-cpas?page-id=0%3A1&node-id=1-775&node-type=canvas&viewport=-602%2C2339%2C0.41&t=oAndXQll2kgbDHXA-1&scaling=scale-down-width&content-scaling=fixed&starting-point-node-id=1%3A775,,Law firm,,

